Frequency (Hz)	Level (dB)
3703.125000	-96.832672
3708.984375	-126.452721
3714.843750	-109.787888
3720.703125	-100.937454
3726.562500	-98.151917
3732.421875	-91.758034
3738.281250	-86.779350
3744.140625	-88.181038
3750.000000	-96.107948
3755.859375	-102.562912
3761.718750	-107.305870
3767.578125	-120.719963
3773.437500	-120.344780
3779.296875	-85.946541
3785.156250	-68.445229
3791.015625	-60.231895
3796.875000	-59.035946
3802.734375	-64.595528
3808.593750	-78.226349
3814.453125	-105.192657
3820.312500	-122.887863
3826.171875	-107.160751
3832.031250	-100.092239
3837.890625	-97.639931
3843.750000	-90.607841
3849.609375	-87.032539
3855.468750	-89.936264
3861.328125	-98.838799
3867.187500	-103.285568
3873.046875	-109.175323
3878.906250	-123.115677
3884.765625	-111.856483
3890.625000	-81.345673
3896.484375	-66.349197
3902.343750	-59.827797
3908.203125	-60.136326
3914.062500	-67.336884
3919.921875	-83.256737
3925.781250	-114.912933
3931.640625	-118.634239
3937.500000	-105.065689
3943.359375	-99.636391
3949.218750	-96.834511
3955.078125	-89.770348
3960.937500	-87.617378
3966.796875	-92.020279
3972.656250	-101.113693
3978.515625	-104.502396
3984.375000	-112.264694
3990.234375	-127.289261
3996.093750	-103.128021
4001.953125	-77.443848
4007.812500	-64.661263
4013.671875	-59.755363
4019.531250	-61.571781
4025.390625	-70.498436
4031.250000	-89.030006
4037.109375	-123.702293
4042.968750	-115.136436
4048.828125	-103.474670
4054.687500	-99.404716
4060.546875	-95.632912
4066.406250	-89.212242
4072.265625	-88.522697
4078.125000	-94.461853
4083.984375	-102.571480
4089.843750	-105.800110
4095.703125	-115.315681
4101.562500	-123.979759
4107.421875	-95.930290
4113.281250	-74.138771
4119.140625	-63.354401
4125.000000	-60.009678
4130.859375	-63.351479
4136.718750	-74.116882
4142.578125	-95.678947
4148.437500	-126.326591
4154.296875	-111.555779
4160.156250	-102.110710
4166.015625	-99.242447
4171.875000	-94.353706
4177.734375	-88.976532
4183.593750	-89.766113
4189.453125	-97.125404
4195.312500	-103.484146
4201.171875	-107.575943
4207.031250	-119.662041
4212.890625	-123.012070
4218.750000	-89.981026
4224.609375	-71.344269
4230.468750	-62.406384
4236.328125	-60.588661
4242.187500	-65.490547
4248.046875	-78.246086
4253.906250	-103.449280
4259.765625	-124.636337
4265.625000	-108.787392
4271.484375	-101.128334
4277.343750	-99.055054
4283.203125	-93.167694
4289.062500	-89.056267
4294.921875	-91.342606
4300.781250	-99.753403
4306.640625	-104.245590
4312.500000	-109.638260
4318.359375	-123.635887
4324.218750	-117.397202
4330.078125	-85.005531
4335.937500	-69.016151
4341.796875	-61.807949
4347.656250	-61.497753
4353.515625	-68.013794
4359.375000	-82.960136
4365.234375	-112.488022
4371.093750	-121.181427
4376.953125	-106.584366
4382.812500	-100.534607
4388.671875	-98.673409
4394.531250	-92.209671
4400.390625	-89.483643
4406.250000	-93.276428
4412.109375	-102.056633
4417.968750	-105.156471
4423.828125	-112.214447
4429.687500	-127.147171
4435.546875	-108.168480
4441.406250	-80.767708
4447.265625	-67.107010
4453.125000	-61.544060
4458.984375	-62.738205
4464.843750	-70.941521
4470.703125	-88.352722
4476.562500	-122.518326
4482.421875	-116.826408
4488.281250	-104.667397
4494.140625	-100.122543
4500.000000	-97.775787
4505.859375	-91.468117
4511.718750	-90.206726
4517.578125	-95.502945
4523.437500	-103.512680
4529.296875	-106.215385
4535.156250	-114.750435
4541.015625	-127.229546
4546.875000	-100.429100
4552.734375	-77.179146
4558.593750	-65.593384
4564.453125	-61.611378
4570.312500	-64.321777
4576.171875	-74.314415
4582.031250	-94.558586
4587.890625	-127.607498
4593.750000	-113.545433
4599.609375	-103.247520
4605.468750	-100.067154
4611.328125	-96.757431
4617.187500	-91.100822
4623.046875	-91.297699
4628.906250	-98.007858
4634.765625	-104.412041
4640.625000	-107.902016
4646.484375	-118.965134
4652.343750	-124.104828
4658.203125	-94.012329
4664.062500	-74.133255
4669.921875	-64.450409
4675.781250	-62.006950
4681.640625	-66.261436
4687.500000	-78.175728
4693.359375	-101.767029
4699.218750	-126.775299
4705.078125	-110.486160
4710.937500	-102.120895
4716.796875	-100.109268
4722.656250	-95.606956
4728.515625	-91.045174
4734.375000	-92.722374
4740.234375	-100.579338
4746.093750	-105.108215
4751.953125	-109.964073
4757.812500	-123.829903
4763.671875	-121.946266
4769.531250	-88.611137
4775.390625	-71.567299
4781.250000	-63.659416
4787.109375	-62.729061
4792.968750	-68.573051
4798.828125	-82.584175
4804.687500	-110.295631
4810.546875	-123.572594
4816.406250	-108.086113
4822.265625	-101.345268
4828.125000	-99.967552
4833.984375	-94.538345
4839.843750	-91.298103
4845.703125	-94.473366
4851.562500	-102.920860
4857.421875	-105.892174
4863.281250	-112.302513
4869.140625	-127.327888
4875.000000	-113.491875
4880.859375	-84.037254
4886.718750	-69.443817
4892.578125	-63.211456
4898.437500	-63.785133
4904.296875	-71.283508
4910.156250	-87.640244
4916.015625	-119.930466
4921.875000	-119.190392
4927.734375	-106.000381
4933.593750	-100.871117
4939.453125	-99.528160
4945.312500	-93.712234
4951.171875	-91.868896
4957.031250	-96.544876
4962.890625	-104.421257
4968.750000	-106.845367
4974.609375	-114.869194
4980.468750	-128.377686
4986.328125	-105.034241
4992.187500	-80.143311
4998.046875	-67.724136
5003.906250	-63.096752
5009.765625	-65.180008
5015.625000	-74.419617
5021.484375	-93.426369
5027.343750	-126.824577
5033.203125	-115.632736
5039.062500	-104.393341
5044.921875	-100.716286
5050.781250	-98.779968
5056.640625	-93.190697
5062.500000	-92.780540
5068.359375	-98.898628
5074.218750	-105.304573
5080.078125	-108.343285
5085.937500	-118.461647
5091.796875	-126.616898
5097.656250	-98.062538
5103.515625	-76.836578
5109.375000	-66.385231
5115.234375	-63.311783
5121.093750	-66.925591
5126.953125	-78.028374
5132.812500	-100.161697
5138.671875	-129.641602
5144.531250	-112.390312
5150.390625	-103.137383
5156.250000	-100.773117
5162.109375	-97.816994
5167.968750	-92.967110
5173.828125	-94.016617
5179.687500	-101.339478
5185.546875	-105.849464
5191.406250	-110.139511
5197.265625	-123.210304
5203.125000	-124.287628
5208.984375	-92.179092
5214.843750	-74.032730
5220.703125	-65.407600
5226.562500	-63.856895
5232.421875	-69.039742
5238.281250	-82.168312
5244.140625	-108.156212
5250.000000	-125.699043
5255.859375	-109.448914
5261.718750	-102.188416
5267.578125	-100.853416
5273.437500	-96.769043
5279.296875	-93.065956
5285.156250	-95.620628
5291.015625	-103.650848
5296.875000	-106.488388
5302.734375	-112.060333
5308.593750	-125.976776
5314.453125	-118.569801
5320.312500	-87.259186
5326.171875	-71.693108
5332.031250	-64.778900
5337.890625	-64.733978
5343.750000	-71.540955
5349.609375	-86.903824
5355.468750	-117.486908
5361.328125	-121.398254
5367.187500	-107.358269
5373.046875	-101.631615
5378.906250	-100.851418
5384.765625	-95.916985
5390.625000	-93.524376
5396.484375	-97.606499
5402.343750	-105.363678
5408.203125	-107.471199
5414.062500	-114.773468
5419.921875	-129.297211
5425.781250	-109.641624
5431.640625	-83.050262
5437.500000	-69.766197
5443.359375	-64.485291
5449.218750	-65.945953
5455.078125	-74.457703
5460.937500	-92.341087
5466.796875	-126.394051
5472.656250	-117.292503
5478.515625	-105.478622
5484.375000	-101.276093
5490.234375	-100.455940
5496.093750	-95.236328
5501.953125	-94.260223
5507.812500	-99.757896
5513.671875	-106.180130
5519.531250	-108.683044
5525.390625	-118.096420
5531.250000	-127.374435
5537.109375	-102.031525
5542.968750	-79.472511
5548.828125	-68.233322
5554.687500	-64.525597
5560.546875	-67.505989
5566.406250	-77.827530
5572.265625	-98.620369
5578.125000	-128.995926
5583.984375	-113.901138
5589.843750	-104.040070
5595.703125	-101.306877
5601.562500	-99.837799
5607.421875	-94.920799
5613.281250	-95.416367
5619.140625	-102.227249
5625.000000	-106.721382
5630.859375	-110.244614
5636.718750	-121.695602
5642.578125	-124.857513
5648.437500	-95.756165
5654.296875	-76.428490
5660.156250	-67.069183
5666.015625	-64.894119
5671.875000	-69.424622
5677.734375	-81.689903
5683.593750	-105.910065
5689.453125	-127.946564
5695.312500	-111.093330
5701.171875	-102.978271
5707.031250	-101.472969
5712.890625	-98.899742
5718.750000	-94.870422
5724.609375	-96.827339
5730.468750	-104.399704
5736.328125	-107.149315
5742.187500	-112.156013
5748.046875	-125.695465
5753.906250	-123.112244
5759.765625	-90.454117
5765.625000	-73.866081
5771.484375	-66.260117
5777.343750	-65.595673
5783.203125	-71.727089
5789.062500	-86.137703
5794.921875	-114.793930
5800.781250	-123.699326
5806.640625	-108.769768
5812.500000	-102.342316
5818.359375	-101.752953
5824.218750	-98.009193
5830.078125	-95.139610
5835.937500	-98.582863
5841.796875	-106.151703
5847.656250	-107.986809
5853.515625	-114.556633
5859.375000	-129.448013
5865.234375	-114.541748
5871.093750	-85.934174
5876.953125	-71.735695
5882.812500	-65.790718
5888.671875	-66.629593
5894.531250	-74.428688
5900.390625	-91.224876
5906.250000	-123.563255
5912.109375	-119.975143
5917.968750	-106.770004
5923.828125	-101.870644
5929.687500	-101.729500
5935.546875	-97.281876
5941.406250	-95.744820
5947.265625	-100.634453
5953.125000	-106.989891
5958.984375	-108.935593
5964.843750	-117.130882
5970.703125	-130.950928
5976.562500	-106.224091
5982.421875	-82.064323
5988.281250	-70.006096
5994.140625	-65.656754
6000.000000	-68.008865
6005.859375	-77.571632
6011.718750	-97.125755
6017.578125	-130.707764
6023.437500	-115.739403
6029.296875	-105.013466
6035.156250	-101.728104
6041.015625	-101.420494
6046.875000	-96.838188
6052.734375	-96.729622
6058.593750	-102.951332
6064.453125	-107.392326
6070.312500	-110.340637
6076.171875	-120.721107
6082.031250	-129.149673
6087.890625	-99.373253
6093.750000	-78.771355
6099.609375	-68.655441
6105.468750	-65.852951
6111.328125	-69.741280
6117.187500	-81.190437
6123.046875	-103.938583
6128.906250	-130.268692
6134.765625	-112.717819
6140.625000	-103.820381
6146.484375	-101.849236
6152.343750	-100.776917
6158.203125	-96.660225
6164.062500	-97.997154
6169.921875	-105.154617
6175.781250	-107.882637
6181.640625	-112.191246
6187.500000	-124.532700
6193.359375	-125.166176
6199.218750	-93.652206
6205.078125	-75.982178
6210.937500	-67.664383
6216.796875	-66.379738
6222.656250	-71.843040
6228.515625	-85.341591
6234.375000	-111.937126
6240.234375	-127.527077
6246.093750	-110.120361
6251.953125	-102.928978
6257.812500	-102.131279
6263.671875	-100.007904
6269.531250	-96.794563
6275.390625	-99.625519
6281.250000	-106.924438
6287.109375	-108.663170
6292.968750	-114.478363
6298.828125	-129.744110
6304.687500	-119.905609
6310.546875	-88.801979
6316.406250	-73.642883
6322.265625	-67.019867
6328.125000	-67.240135
6333.984375	-74.341766
6339.843750	-90.119858
6345.703125	-120.441902
6351.562500	-121.811966
6357.421875	-107.851639
6363.281250	-102.372879
6369.140625	-102.501152
6375.000000	-99.260674
6380.859375	-97.202805
6386.718750	-101.506195
6392.578125	-108.007217
6398.437500	-109.675980
6404.296875	-117.457352
6410.156250	-131.416840
6416.015625	-110.599022
6421.875000	-84.630951
6427.734375	-71.712669
6433.593750	-66.711464
6439.453125	-68.438538
6445.312500	-77.261253
6451.171875	-95.624962
6457.031250	-128.923508
6462.890625	-117.839943
6468.750000	-106.078743
6474.609375	-102.158646
6480.468750	-102.589539
6486.328125	-98.640656
6492.187500	-97.957527
6498.046875	-103.603828
6503.906250	-108.420456
6509.765625	-110.851387
6515.625000	-120.575989
6521.484375	-128.470825
6527.343750	-103.001610
6533.203125	-81.069122
6539.062500	-70.171112
6544.921875	-66.735687
6550.781250	-69.987297
6556.640625	-80.642159
6562.500000	-102.024292
6568.359375	-130.626953
6574.218750	-114.153091
6580.078125	-104.634193
6585.937500	-102.197929
6591.796875	-102.314987
6597.656250	-98.332458
6603.515625	-99.083504
6609.375000	-105.752136
6615.234375	-108.588013
6621.093750	-112.283066
6626.953125	-124.038086
6632.812500	-126.714058
6638.671875	-96.870773
6644.531250	-78.041588
6650.390625	-68.997147
6656.250000	-67.090034
6662.109375	-71.899384
6667.968750	-84.529892
6673.828125	-109.388382
6679.687500	-129.347397
6685.546875	-111.471733
6691.406250	-103.552162
6697.265625	-102.485420
6703.125000	-101.807594
6708.984375	-98.374428
6714.843750	-100.607407
6720.703125	-107.665047
6726.562500	-109.105095
6732.421875	-114.137932
6738.281250	-127.197540
6744.140625	-123.648697
6750.000000	-91.656883
6755.859375	-75.485634
6761.718750	-68.175407
6767.578125	-67.775688
6773.437500	-74.195457
6779.296875	-89.001579
6785.156250	-118.283348
6791.015625	-123.213417
6796.875000	-108.917656
6802.734375	-102.846710
6808.593750	-102.974243
6814.453125	-101.130592
6820.312500	-98.680008
6826.171875	-102.390244
6832.031250	-108.737206
6837.890625	-109.822380
6843.750000	-116.797043
6849.609375	-130.353577
6855.468750	-114.627861
6861.328125	-87.164894
6867.187500	-73.356819
6873.046875	-67.697365
